position,artist,track,album,duration,date
1,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-23
2,j-hope & GloRilla,Killin' It Girl	,,0,2025-06-23
3,Lady Gaga & Bruno Mars,Die With A Smile,Belong Together,148,2025-06-23
4,Teddy Swims,Bad Dreams,Bad Dreams,184,2025-06-23
5,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-23
6,Lil Wayne & Nicki Minaj,Banned From NO	,Tha Carter VI (Bonus),204,2025-06-23
7,The Beach Boys,I Get Around,The Very Best Of The Beach Boys: Sounds Of Summer,132,2025-06-23
8,Levi Heron,The Glen,The Glen (Levi Heron Edit),173,2025-06-23
9,Roddy Ricch,Underdog,Underdog (From F1® The Movie),142,2025-06-23
10,The Beach Boys,Sloop John B,Pet Sounds,183,2025-06-23
11,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-23
12,Max McNown,Same Questions,Same Questions,192,2025-06-23
13,Tommy Cash,Espresso Macchiato,Espresso Macchiato,173,2025-06-23
14,Doechii,Anxiety,Anxiety,249,2025-06-23
15,twenty one pilots,The Contract,The Contract,228,2025-06-23
16,The Beach Boys,Wouldn't It Be Nice,The Very Best Of The Beach Boys: Sounds Of Summer,153,2025-06-23
17,Lady Gaga,Abracadabra,Abracadabra,223,2025-06-23
18,The Beach Boys,California Girls,The Very Best Of The Beach Boys: Sounds Of Summer,163,2025-06-23
19,Sabrina Carpenter,Manchild,Manchild,213,2025-06-23
20,Benson Boone,Mystical Magical,Mystical Magical,165,2025-06-23
