position,artist,track,album,duration,date
1,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-28
2,j-hope & GloRilla,Killin' It Girl	,,0,2025-06-28
3,Teddy Swims,Bad Dreams,Bad Dreams,184,2025-06-28
4,Max McNown,Same Questions,Same Questions,192,2025-06-28
5,Tommy Cash,Espresso Macchiato,Espresso Macchiato,173,2025-06-28
6,The Beach Boys,California Girls,The Very Best Of The Beach Boys: Sounds Of Summer,163,2025-06-28
7,Ati242,Her Nerdeysen,Manifesto,149,2025-06-28
8,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-28
9,j-hope,Killin' It Girl,MONA LISA,137,2025-06-28
10,Alex Warren,Ordinary,Ordinary,186,2025-06-28
11,ROSÉ & Bruno Mars,APT.,APT.,169,2025-06-28
12,Ed Sheeran,Azizam,Azizam,162,2025-06-28
13,Bruce Springsteen,Sunday Love	,Sunday Love,316,2025-06-28
14,Ed Sheeran,Sapphire	,Sapphire,179,2025-06-28
15,twenty one pilots,The Contract,The Contract,228,2025-06-28
16,The Beach Boys,God Only Knows	,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-28
17,Lola Young,Messy,Messy,284,2025-06-28
18,Lady Gaga & Bruno Mars,Die With A Smile,Belong Together,148,2025-06-28
19,The Beach Boys,Good Vibrations,The Very Best Of The Beach Boys: Sounds Of Summer,215,2025-06-28
20,ATEEZ,Lemon Drop,THE WORLD EP.FIN : WILL,198,2025-06-28
