position,artist,track,album,duration,date
1,Morgan Wallen,What I Want,I’m The Problem,184,2025-06-04
2,Clairo,Juna,Charm,195,2025-06-04
3,Sabrina Carpenter,Espresso,Espresso,175,2025-06-04
4,Shaboozey,Good News,Good News,199,2025-06-04
5,Charli xcx,Apple,BRAT,151,2025-06-04
6,Post Malone,I Had Some Help,I Had Some Help,178,2025-06-04
7,Gracie Abrams,"I Love You, I'm Sorry",The Secret of Us,157,2025-06-04
8,Myles Smith,Stargazing,Stargazing,172,2025-06-04
9,Dua Lipa,Houdini,Houdini,185,2025-06-04
10,Doechii,Anxiety,Anxiety,249,2025-06-04
11,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-04
12,Lola Young,Messy,Messy,284,2025-06-04
13,Alex Warren,Ordinary,Ordinary,186,2025-06-04
14,Rosé,APT.,APT.,169,2025-06-04
15,Lady Gaga,Die With A Smile,Die With A Smile,250,2025-06-04
16,Shaboozey,A Bar Song (Tipsy),A Bar Song (Tipsy),171,2025-06-04
17,Kendrick Lamar,luther,GNX,178,2025-06-04
18,Miley Cyrus,End of the World,End of the World,250,2025-06-04
19,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-04
20,Sabrina Carpenter,Taste,Short n' Sweet,157,2025-06-04
