position,artist,track,album,duration,date
1,Chris Brown,Residuals,11:11 (Deluxe),215,2025-06-22
2,Megan Moroney,Am I Okay?,Am I Okay?,235,2025-06-22
3,Morgan Wallen,I Ain't Comin' Back,I Ain't Comin' Back,175,2025-06-22
4,Lady Gaga,Die With A Smile,Die With A Smile,250,2025-06-22
5,Zach Bryan,Pink Skies,Pink Skies,194,2025-06-22
6,Leon Thomas,MUTT,MUTT,193,2025-06-22
7,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-22
8,Rosé,APT.,APT.,169,2025-06-22
9,Sabrina Carpenter,Taste,Short n' Sweet,157,2025-06-22
10,Marshmello,Miles On It,Miles On It,168,2025-06-22
11,Taylor Swift,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,218,2025-06-22
12,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-22
13,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-22
14,Artemas,i like the way you kiss me,i like the way you kiss me,142,2025-06-22
15,Reneé Rapp,Not My Fault,Not My Fault,170,2025-06-22
16,Dasha,Not At This Party,Not At This Party,212,2025-06-22
17,Madison Beer,Make You Mine,Make You Mine,220,2025-06-22
18,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-22
19,The Marías,No One Noticed,Submarine,236,2025-06-22
20,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-22
