position,artist,track,album,duration,date
1,Neton Vega,Morena (w/ Peso Pluma),ÉXODO,130,2025-06-27
2,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album),,0,2025-06-27
3,sombr,undressed,undressed,182,2025-06-27
4,Charli xcx,party 4 u,how i'm feeling now,296,2025-06-27
5,Arctic Monkeys,I Wanna Be Yours,AM,183,2025-06-27
6,Lady Gaga,Die With A Smile (w/ Bruno Mars),24K Magic,281,2025-06-27
7,The Weeknd,Timeless (w/ Playboi Carti),2014 Forest Hills Drive,292,2025-06-27
8,JENNIE,like JENNIE,Ruby,123,2025-06-27
9,Coldplay,Yellow,Parachutes,266,2025-06-27
10,The Neighbourhood,Sweater Weather,I Love You.,240,2025-06-27
11,Sabrina Carpenter,Manchild,Manchild,213,2025-06-27
12,Sabrina Carpenter,Espresso,Espresso,175,2025-06-27
13,Bad Bunny,DtMF,DeBÍ TiRAR MáS FOToS,237,2025-06-27
14,Gigi Perez,Sailor Song,Sailor Song,211,2025-06-27
15,Alex Warren,Ordinary,Ordinary,186,2025-06-27
16,sombr,back to friends,back to friends,199,2025-06-27
17,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-27
18,Jin,Don’t Say You Love Me,Echo,180,2025-06-27
19,"W Sound,La Plena","W Sound 05 (w/ Beéle, Ovy On The Drums)",La Plena (W Sound 05),150,2025-06-27
20,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-27
