position,artist,track,album,duration,date
1,Shaboozey,A Bar Song,A Bar Song (Tipsy),171,2025-06-04
2,ATEEZ,Lemon Drop,THE WORLD EP.FIN : WILL,198,2025-06-04
3,The Beach Boys,Good Vibrations,The Very Best Of The Beach Boys: Sounds Of Summer,215,2025-06-04
4,Calvin Harris & Clementine Douglas,Blessings	,Blessings,220,2025-06-04
5,Drake,NOKIA,$ome $exy $ongs 4 U,241,2025-06-04
6,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-04
7,Miley Cyrus,End of the World,End of the World,250,2025-06-04
8,Stephen Wilson Jr.,Stand By Me,søn of dad (deluxe),247,2025-06-04
9,Lola Young,Messy,Messy,284,2025-06-04
10,Alex Warren,Ordinary,Ordinary,186,2025-06-04
11,Ati242,Her Nerdeysen,Manifesto,149,2025-06-04
12,j-hope & GloRilla,Killin' It Girl	,,0,2025-06-04
13,j-hope,Killin' It Girl,MONA LISA,137,2025-06-04
14,ROSÉ & Bruno Mars,APT.,APT.,169,2025-06-04
15,Ed Sheeran,Azizam,Azizam,162,2025-06-04
16,Bruce Springsteen,Sunday Love	,Sunday Love,316,2025-06-04
17,Ed Sheeran,Sapphire	,Sapphire,179,2025-06-04
18,twenty one pilots,The Contract,The Contract,228,2025-06-04
19,The Beach Boys,God Only Knows	,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-04
20,Lady Gaga & Bruno Mars,Die With A Smile,Belong Together,148,2025-06-04
