position,artist,track,album,duration,date
1,Rosé,APT.,APT.,169,2025-06-26
2,Morgan Wallen,I Ain't Comin' Back,I Ain't Comin' Back,175,2025-06-26
3,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-26
4,Chris Brown,Residuals,11:11 (Deluxe),215,2025-06-26
5,Megan Moroney,Am I Okay?,Am I Okay?,235,2025-06-26
6,Taylor Swift,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,218,2025-06-26
7,Leon Thomas,MUTT,MUTT,193,2025-06-26
8,The Marías,No One Noticed,Submarine,236,2025-06-26
9,Dasha,Not At This Party,Not At This Party,212,2025-06-26
10,Reneé Rapp,Not My Fault,Not My Fault,170,2025-06-26
11,Jack Harlow,Lovin On Me,Lovin On Me,138,2025-06-26
12,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-26
13,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-26
14,Bakar,Hell N Back (feat. Summer Walker),Halo,195,2025-06-26
15,Madison Beer,Make You Mine,Make You Mine,220,2025-06-26
16,Shaboozey,Good News,Good News,199,2025-06-26
17,Sabrina Carpenter,Espresso,Espresso,175,2025-06-26
18,Alex Warren,Ordinary,Ordinary,186,2025-06-26
19,Charli xcx,Apple,BRAT,151,2025-06-26
20,Doechii,Anxiety,Anxiety,249,2025-06-26
