position,artist,track,album,duration,date
1,Rosé,APT.,APT.,169,2025-06-25
2,Megan Moroney,Am I Okay?,Am I Okay?,235,2025-06-25
3,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-25
4,Chris Brown,Residuals,11:11 (Deluxe),215,2025-06-25
5,Morgan Wallen,I Ain't Comin' Back,I Ain't Comin' Back,175,2025-06-25
6,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-25
7,Leon Thomas,MUTT,MUTT,193,2025-06-25
8,Taylor Swift,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,218,2025-06-25
9,Sabrina Carpenter,Taste,Short n' Sweet,157,2025-06-25
10,The Marías,No One Noticed,Submarine,236,2025-06-25
11,Bakar,Hell N Back (feat. Summer Walker),Halo,195,2025-06-25
12,Reneé Rapp,Not My Fault,Not My Fault,170,2025-06-25
13,Dasha,Not At This Party,Not At This Party,212,2025-06-25
14,Miley Cyrus,End of the World,End of the World,250,2025-06-25
15,Sabrina Carpenter,Please Please Please,Please Please Please,186,2025-06-25
16,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-25
17,Alex Warren,Ordinary,Ordinary,186,2025-06-25
18,Sabrina Carpenter,Espresso,Espresso,175,2025-06-25
19,David Guetta,Beautiful People,Beautiful People,187,2025-06-25
20,Madison Beer,Make You Mine,Make You Mine,220,2025-06-25
