position,artist,track,album,duration,date
1,The Beach Boys,God Only Knows	,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-16
2,Lil Wayne & Nicki Minaj,Banned From NO	,Tha Carter VI (Bonus),204,2025-06-16
3,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-16
4,Doechii,Anxiety,Anxiety,249,2025-06-16
5,East Duo,ჩუბინა,ჩუბინა,90,2025-06-16
6,Lady Gaga,Always Remember Us This Way,A Star Is Born Soundtrack,210,2025-06-16
7,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-16
8,Benson Boone,Sorry I'm Here For Someone Else,Sorry I'm Here For Someone Else,156,2025-06-16
9,The Beach Boys,Wouldn't It Be Nice,The Very Best Of The Beach Boys: Sounds Of Summer,153,2025-06-16
10,The Beach Boys,California Girls,The Very Best Of The Beach Boys: Sounds Of Summer,163,2025-06-16
11,Ed Sheeran,Old Phone	,Old Phone,221,2025-06-16
12,The Beach Boys,Sloop John B,Pet Sounds,183,2025-06-16
13,Levi Heron,The Glen,The Glen (Levi Heron Edit),173,2025-06-16
14,Max McNown,Same Questions,Same Questions,192,2025-06-16
15,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-16
16,"MOLIY, Silent Addy, Skillibeng & Shenseea",Shake It To The Max,Shake It To The Max (FLY) [Remix],178,2025-06-16
17,Teddy Swims,Bad Dreams,Bad Dreams,184,2025-06-16
18,Roddy Ricch,Underdog,Underdog (From F1® The Movie),142,2025-06-16
19,The Beach Boys,I Get Around,The Very Best Of The Beach Boys: Sounds Of Summer,132,2025-06-16
20,Alison Goldfrapp,Sound & Light,Flux,198,2025-06-16
