position,artist,track,album,duration,date
1,Ed Sheeran,Sapphire	,Sapphire,179,2025-06-19
2,Teddy Swims,Bad Dreams,Bad Dreams,184,2025-06-19
3,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-19
4,The Beach Boys,I Get Around,The Very Best Of The Beach Boys: Sounds Of Summer,132,2025-06-19
5,Alison Goldfrapp,Sound & Light,Flux,198,2025-06-19
6,Lady Gaga & Bruno Mars,Die With A Smile,Belong Together,148,2025-06-19
7,Max McNown,Same Questions,Same Questions,192,2025-06-19
8,j-hope & GloRilla,Killin' It Girl	,,0,2025-06-19
9,The Beach Boys,Sloop John B,Pet Sounds,183,2025-06-19
10,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-19
11,Roddy Ricch,Underdog,Underdog (From F1® The Movie),142,2025-06-19
12,Stray Kids,Hollow,Hollow,209,2025-06-19
13,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-19
14,Ed Sheeran,Old Phone	,Old Phone,221,2025-06-19
15,Levi Heron,The Glen,The Glen (Levi Heron Edit),173,2025-06-19
16,Ed Sheeran,Azizam,Azizam,162,2025-06-19
17,Lil Wayne & Nicki Minaj,Banned From NO	,Tha Carter VI (Bonus),204,2025-06-19
18,Doechii,Anxiety,Anxiety,249,2025-06-19
19,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-19
20,Benson Boone,Sorry I'm Here For Someone Else,Sorry I'm Here For Someone Else,156,2025-06-19
