position,artist,track,album,duration,date
1,Rosé,APT.,APT.,169,2025-06-29
2,Leon Thomas,MUTT,MUTT,193,2025-06-29
3,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-29
4,Morgan Wallen,I Ain't Comin' Back,I Ain't Comin' Back,175,2025-06-29
5,Charli xcx,Apple,BRAT,151,2025-06-29
6,Jack Harlow,Lovin On Me,Lovin On Me,138,2025-06-29
7,The Marías,No One Noticed,Submarine,236,2025-06-29
8,Dasha,Not At This Party,Not At This Party,212,2025-06-29
9,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-29
10,Shaboozey,Good News,Good News,199,2025-06-29
11,Doechii,Anxiety,Anxiety,249,2025-06-29
12,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-29
13,Morgan Wallen,What I Want,I’m The Problem,184,2025-06-29
14,Lola Young,Messy,Messy,284,2025-06-29
15,Alex Warren,Ordinary,Ordinary,186,2025-06-29
16,Lady Gaga,Die With A Smile,Die With A Smile,250,2025-06-29
17,Shaboozey,A Bar Song (Tipsy),A Bar Song (Tipsy),171,2025-06-29
18,Kendrick Lamar,luther,GNX,178,2025-06-29
19,Miley Cyrus,End of the World,End of the World,250,2025-06-29
20,Sabrina Carpenter,Taste,Short n' Sweet,157,2025-06-29
