position,artist,track,album,duration,date
1,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-15
2,Jimin,Who,MUSE,170,2025-06-15
3,Benson Boone,Mystical Magical,Mystical Magical,165,2025-06-15
4,Coldplay,Yellow,Parachutes,266,2025-06-15
5,The Weeknd,Timeless (w/ Playboi Carti),2014 Forest Hills Drive,292,2025-06-15
6,The Neighbourhood,Sweater Weather,I Love You.,240,2025-06-15
7,Sabrina Carpenter,Espresso,Espresso,175,2025-06-15
8,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-15
9,Fuerza Regida,Marlboro Rojo,111XPANTIA,184,2025-06-15
10,ROSÉ,APT. (w/ Bruno Mars),24K Magic,281,2025-06-15
11,Morgan Wallen,What I Want (w/ Tate McRae),,0,2025-06-15
12,Bad Bunny,DtMF,DeBÍ TiRAR MáS FOToS,237,2025-06-15
13,Lady Gaga,Die With A Smile (w/ Bruno Mars),24K Magic,281,2025-06-15
14,Lola Young,Messy,Messy,284,2025-06-15
15,WizTheMc,Show Me Love (w/ bees & honey),Suntub,228,2025-06-15
16,Charli xcx,party 4 u,how i'm feeling now,296,2025-06-15
17,Sabrina Carpenter,Manchild,Manchild,213,2025-06-15
18,Kendrick Lamar,All The Stars (w/ SZA),Still Over It,231,2025-06-15
19,Beéle,no tiene sentido,BORONDO,159,2025-06-15
20,Ed Sheeran,Sapphire,Sapphire,179,2025-06-15
