position,artist,track,album,duration,date
1,Chappell Roan,"Good Luck, Babe!","Good Luck, Babe!",218,2025-06-25
2,Neton Vega,Morena (w/ Peso Pluma),ÉXODO,130,2025-06-25
3,Kendrick Lamar,luther,GNX,178,2025-06-25
4,Lord Huron,The Night We Met,Strange Trails,208,2025-06-25
5,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album),,0,2025-06-25
6,sombr,undressed,undressed,182,2025-06-25
7,Morgan Wallen,What I Want (w/ Tate McRae),,0,2025-06-25
8,Coldplay,Yellow,Parachutes,266,2025-06-25
9,Charli xcx,party 4 u,how i'm feeling now,296,2025-06-25
10,Bad Bunny,EoO,DeBÍ TiRAR MáS FOToS,204,2025-06-25
11,The Police,Every Breath You Take,Synchronicity (Remastered 2003),253,2025-06-25
12,Beéle,no tiene sentido,BORONDO,159,2025-06-25
13,WizTheMc,Show Me Love (w/ bees & honey),Suntub,228,2025-06-25
14,JENNIE,like JENNIE,Ruby,123,2025-06-25
15,Lady Gaga,Die With A Smile (w/ Bruno Mars),24K Magic,281,2025-06-25
16,"Tyler, The Creator",See You Again (w/ Kali Uchis),,0,2025-06-25
17,Jimin,Who,MUSE,170,2025-06-25
18,Bad Bunny,DtMF,DeBÍ TiRAR MáS FOToS,237,2025-06-25
19,The Weeknd,Timeless (w/ Playboi Carti),2014 Forest Hills Drive,292,2025-06-25
20,Sabrina Carpenter,Espresso,Espresso,175,2025-06-25
