position,artist,track,album,duration,date
1,Doechii,Anxiety,Anxiety,249,2025-06-20
2,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-20
3,Taylor Swift,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,218,2025-06-20
4,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-20
5,Leon Thomas,MUTT,MUTT,193,2025-06-20
6,Artemas,i like the way you kiss me,i like the way you kiss me,142,2025-06-20
7,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-20
8,Sabrina Carpenter,Taste,Short n' Sweet,157,2025-06-20
9,Zach Bryan,Pink Skies,Pink Skies,194,2025-06-20
10,Marshmello,Miles On It,Miles On It,168,2025-06-20
11,Chris Brown,Residuals,11:11 (Deluxe),215,2025-06-20
12,Megan Moroney,Am I Okay?,Am I Okay?,235,2025-06-20
13,Lady Gaga,Die With A Smile,Die With A Smile,250,2025-06-20
14,Morgan Wallen,I Ain't Comin' Back,I Ain't Comin' Back,175,2025-06-20
15,Bakar,Hell N Back (feat. Summer Walker),Halo,195,2025-06-20
16,Reneé Rapp,Not My Fault,Not My Fault,170,2025-06-20
17,Rosé,APT.,APT.,169,2025-06-20
18,Dasha,Not At This Party,Not At This Party,212,2025-06-20
19,The Marías,No One Noticed,Submarine,236,2025-06-20
20,Miley Cyrus,End of the World,End of the World,250,2025-06-20
