position,artist,track,album,duration,date
1,Sabrina Carpenter,Espresso,Espresso,175,2025-06-07
2,Shaboozey,Good News,Good News,199,2025-06-07
3,Justice,Neverender,Hyperdrama,266,2025-06-07
4,Gracie Abrams,"I Love You, I'm Sorry",The Secret of Us,157,2025-06-07
5,Post Malone,I Had Some Help,I Had Some Help,178,2025-06-07
6,Charli xcx,Apple,BRAT,151,2025-06-07
7,Morgan Wallen,What I Want,I’m The Problem,184,2025-06-07
8,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-07
9,Charli xcx,360,BRAT,133,2025-06-07
10,Dua Lipa,Houdini,Houdini,185,2025-06-07
11,Clairo,Juna,Charm,195,2025-06-07
12,Jack Harlow,Lovin On Me,Lovin On Me,138,2025-06-07
13,Shaboozey,A Bar Song (Tipsy),A Bar Song (Tipsy),171,2025-06-07
14,Morgan Wallen,Love Somebody,Love Somebody,205,2025-06-07
15,Tate McRae,It's ok I'm ok,It's ok I'm ok,157,2025-06-07
16,Bakar,Hell N Back (feat. Summer Walker),Halo,195,2025-06-07
17,Ariana Grande,we can't be friends (wait for your love),eternal sunshine,230,2025-06-07
18,Alex Warren,Ordinary,Ordinary,186,2025-06-07
19,Myles Smith,Stargazing,Stargazing,172,2025-06-07
20,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-07
