position,artist,track,album,duration,date
1,Post Malone,I Had Some Help,I Had Some Help,178,2025-06-10
2,Charli xcx,360,BRAT,133,2025-06-10
3,Dua Lipa,Houdini,Houdini,185,2025-06-10
4,Charli xcx,Apple,BRAT,151,2025-06-10
5,Jack Harlow,Lovin On Me,Lovin On Me,138,2025-06-10
6,Tate McRae,It's ok I'm ok,It's ok I'm ok,157,2025-06-10
7,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-10
8,Alex Warren,Ordinary,Ordinary,186,2025-06-10
9,Shaboozey,A Bar Song (Tipsy),A Bar Song (Tipsy),171,2025-06-10
10,Shaboozey,Good News,Good News,199,2025-06-10
11,Justice,Neverender,Hyperdrama,266,2025-06-10
12,Ariana Grande,we can't be friends (wait for your love),eternal sunshine,230,2025-06-10
13,Sabrina Carpenter,Espresso,Espresso,175,2025-06-10
14,Gracie Abrams,"I Love You, I'm Sorry",The Secret of Us,157,2025-06-10
15,Michael Marcagi,Scared To Start,Scared To Start,159,2025-06-10
16,Myles Smith,Stargazing,Stargazing,172,2025-06-10
17,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-10
18,Miley Cyrus,End of the World,End of the World,250,2025-06-10
19,Morgan Wallen,Love Somebody,Love Somebody,205,2025-06-10
20,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-10
