position,artist,track,album,duration,date
1,Chappell Roan,"Good Luck, Babe!","Good Luck, Babe!",218,2025-06-26
2,Neton Vega,Morena (w/ Peso Pluma),ÉXODO,130,2025-06-26
3,Lord Huron,The Night We Met,Strange Trails,208,2025-06-26
4,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album),,0,2025-06-26
5,Bad Bunny,EoO,DeBÍ TiRAR MáS FOToS,204,2025-06-26
6,Lady Gaga,Die With A Smile (w/ Bruno Mars),24K Magic,281,2025-06-26
7,The Weeknd,Timeless (w/ Playboi Carti),2014 Forest Hills Drive,292,2025-06-26
8,sombr,undressed,undressed,182,2025-06-26
9,The Neighbourhood,Sweater Weather,I Love You.,240,2025-06-26
10,Sabrina Carpenter,Espresso,Espresso,175,2025-06-26
11,Bad Bunny,DtMF,DeBÍ TiRAR MáS FOToS,237,2025-06-26
12,WizTheMc,Show Me Love (w/ bees & honey),Suntub,228,2025-06-26
13,Arctic Monkeys,I Wanna Be Yours,AM,183,2025-06-26
14,Beéle,no tiene sentido,BORONDO,159,2025-06-26
15,The Police,Every Breath You Take,Synchronicity (Remastered 2003),253,2025-06-26
16,Gigi Perez,Sailor Song,Sailor Song,211,2025-06-26
17,Charli xcx,party 4 u,how i'm feeling now,296,2025-06-26
18,JENNIE,like JENNIE,Ruby,123,2025-06-26
19,Sabrina Carpenter,Manchild,Manchild,213,2025-06-26
20,Coldplay,Yellow,Parachutes,266,2025-06-26
