position,artist,track,album,duration,date
1,Lady Gaga & Bruno Mars,Die With A Smile,Belong Together,148,2025-06-22
2,Stray Kids,Hollow,Hollow,209,2025-06-22
3,j-hope & GloRilla,Killin' It Girl	,,0,2025-06-22
4,Teddy Swims,Bad Dreams,Bad Dreams,184,2025-06-22
5,The Beach Boys,I Get Around,The Very Best Of The Beach Boys: Sounds Of Summer,132,2025-06-22
6,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-22
7,The Beach Boys,Sloop John B,Pet Sounds,183,2025-06-22
8,Doechii,Anxiety,Anxiety,249,2025-06-22
9,Ed Sheeran,Sapphire	,Sapphire,179,2025-06-22
10,Alison Goldfrapp,Sound & Light,Flux,198,2025-06-22
11,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-22
12,Roddy Ricch,Underdog,Underdog (From F1® The Movie),142,2025-06-22
13,Lady Gaga,Always Remember Us This Way,A Star Is Born Soundtrack,210,2025-06-22
14,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-22
15,Max McNown,Same Questions,Same Questions,192,2025-06-22
16,Levi Heron,The Glen,The Glen (Levi Heron Edit),173,2025-06-22
17,Benson Boone,Sorry I'm Here For Someone Else,Sorry I'm Here For Someone Else,156,2025-06-22
18,Tommy Cash,Espresso Macchiato,Espresso Macchiato,173,2025-06-22
19,Lil Wayne & Nicki Minaj,Banned From NO	,Tha Carter VI (Bonus),204,2025-06-22
20,Lady Gaga,Abracadabra,Abracadabra,223,2025-06-22
