position,artist,track,album,duration,date
1,Teddy Swims,Bad Dreams,Bad Dreams,184,2025-06-30
2,Tommy Cash,Espresso Macchiato,Espresso Macchiato,173,2025-06-30
3,j-hope & GloRilla,Killin' It Girl	,,0,2025-06-30
4,j-hope,Killin' It Girl,MONA LISA,137,2025-06-30
5,Alex Warren,Ordinary,Ordinary,186,2025-06-30
6,ROSÉ & Bruno Mars,APT.,APT.,169,2025-06-30
7,Ed Sheeran,Azizam,Azizam,162,2025-06-30
8,Bruce Springsteen,Sunday Love	,Sunday Love,316,2025-06-30
9,Ed Sheeran,Sapphire	,Sapphire,179,2025-06-30
10,twenty one pilots,The Contract,The Contract,228,2025-06-30
11,The Beach Boys,God Only Knows	,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-30
12,Lola Young,Messy,Messy,284,2025-06-30
13,Lady Gaga & Bruno Mars,Die With A Smile,Belong Together,148,2025-06-30
14,The Beach Boys,Good Vibrations,The Very Best Of The Beach Boys: Sounds Of Summer,215,2025-06-30
15,ATEEZ,Lemon Drop,THE WORLD EP.FIN : WILL,198,2025-06-30
16,Doechii,Anxiety,Anxiety,249,2025-06-30
17,Lady Gaga,Abracadabra,Abracadabra,223,2025-06-30
18,Sabrina Carpenter,Manchild,Manchild,213,2025-06-30
19,Levi Heron,The Glen,The Glen (Levi Heron Edit),173,2025-06-30
20,Ati242,Her Nerdeysen,Manifesto,149,2025-06-30
