position,artist,track,album,duration,date
1,Gigi Perez,Sailor Song,Sailor Song,211,2025-06-09
2,The Goo Goo Dolls,Iris,Dizzy up the Girl,289,2025-06-09
3,Jin,Don’t Say You Love Me,Echo,180,2025-06-09
4,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-09
5,MOLIY,"Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)",,0,2025-06-09
6,sombr,back to friends,back to friends,199,2025-06-09
7,KAROL G,Si Antes Te Hubiera Conocido,Si Antes Te Hubiera Conocido,195,2025-06-09
8,The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)",,0,2025-06-09
9,NIKI,You'll Be in My Heart - Spotify Singles,,0,2025-06-09
10,Alex Warren,Ordinary,Ordinary,186,2025-06-09
11,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-09
12,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-09
13,Arctic Monkeys,I Wanna Be Yours,AM,183,2025-06-09
14,JENNIE,like JENNIE,Ruby,123,2025-06-09
15,"W Sound,La Plena","W Sound 05 (w/ Beéle, Ovy On The Drums)",La Plena (W Sound 05),150,2025-06-09
16,"Tyler, The Creator",See You Again (w/ Kali Uchis),,0,2025-06-09
17,Fuerza Regida,TU SANCHO,111XPANTIA,178,2025-06-09
18,Ed Sheeran,Sapphire,Sapphire,179,2025-06-09
19,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-09
20,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-09
