position,artist,track,album,duration,date
1,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-13
2,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-13
3,Michael Marcagi,Scared To Start,Scared To Start,159,2025-06-13
4,Myles Smith,Stargazing,Stargazing,172,2025-06-13
5,Beyoncé,TEXAS HOLD 'EM,TEXAS HOLD 'EM,233,2025-06-13
6,Ariana Grande,we can't be friends (wait for your love),eternal sunshine,230,2025-06-13
7,Alex Warren,Ordinary,Ordinary,186,2025-06-13
8,Morgan Wallen,Love Somebody,Love Somebody,205,2025-06-13
9,Shaboozey,A Bar Song (Tipsy),A Bar Song (Tipsy),171,2025-06-13
10,David Guetta,Beautiful People,Beautiful People,187,2025-06-13
11,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-13
12,Tate McRae,It's ok I'm ok,It's ok I'm ok,157,2025-06-13
13,Mark Ambor,Belong Together,Belong Together,148,2025-06-13
14,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-13
15,Miley Cyrus,End of the World,End of the World,250,2025-06-13
16,Charli xcx,Apple,BRAT,151,2025-06-13
17,Jack Harlow,Lovin On Me,Lovin On Me,138,2025-06-13
18,Madison Beer,Make You Mine,Make You Mine,220,2025-06-13
19,Dasha,Not At This Party,Not At This Party,212,2025-06-13
20,Sabrina Carpenter,Please Please Please,Please Please Please,186,2025-06-13
