position,artist,track,album,duration,date
1,Clairo,Juna,Charm,195,2025-06-01
2,Shaboozey,Good News,Good News,199,2025-06-01
3,Doechii,Anxiety,Anxiety,249,2025-06-01
4,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-01
5,Morgan Wallen,What I Want,I’m The Problem,184,2025-06-01
6,Lola Young,Messy,Messy,284,2025-06-01
7,Alex Warren,Ordinary,Ordinary,186,2025-06-01
8,Rosé,APT.,APT.,169,2025-06-01
9,Lady Gaga,Die With A Smile,Die With A Smile,250,2025-06-01
10,Shaboozey,A Bar Song (Tipsy),A Bar Song (Tipsy),171,2025-06-01
11,Kendrick Lamar,luther,GNX,178,2025-06-01
12,Miley Cyrus,End of the World,End of the World,250,2025-06-01
13,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-01
14,Sabrina Carpenter,Taste,Short n' Sweet,157,2025-06-01
15,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-01
16,Post Malone,I Had Some Help,I Had Some Help,178,2025-06-01
17,Marshmello,Miles On It,Miles On It,168,2025-06-01
18,Michael Marcagi,Scared To Start,Scared To Start,159,2025-06-01
19,Myles Smith,Stargazing,Stargazing,172,2025-06-01
20,Beyoncé,TEXAS HOLD 'EM,TEXAS HOLD 'EM,233,2025-06-01
