position,artist,track,album,duration,date
1,Lady Gaga,Die With A Smile (w/ Bruno Mars),24K Magic,281,2025-06-17
2,Bad Bunny,DtMF,DeBÍ TiRAR MáS FOToS,237,2025-06-17
3,Beéle,no tiene sentido,BORONDO,159,2025-06-17
4,Charli xcx,party 4 u,how i'm feeling now,296,2025-06-17
5,Lola Young,Messy,Messy,284,2025-06-17
6,Morgan Wallen,What I Want (w/ Tate McRae),,0,2025-06-17
7,The Neighbourhood,Sweater Weather,I Love You.,240,2025-06-17
8,WizTheMc,Show Me Love (w/ bees & honey),Suntub,228,2025-06-17
9,Coldplay,Yellow,Parachutes,266,2025-06-17
10,ROSÉ,APT. (w/ Bruno Mars),24K Magic,281,2025-06-17
11,The Weeknd,Timeless (w/ Playboi Carti),2014 Forest Hills Drive,292,2025-06-17
12,Benson Boone,Mystical Magical,Mystical Magical,165,2025-06-17
13,The Police,Every Breath You Take,Synchronicity (Remastered 2003),253,2025-06-17
14,Sabrina Carpenter,Espresso,Espresso,175,2025-06-17
15,Bad Bunny,EoO,DeBÍ TiRAR MáS FOToS,204,2025-06-17
16,Ed Sheeran,Azizam,Azizam,162,2025-06-17
17,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-17
18,Fuerza Regida,Marlboro Rojo,111XPANTIA,184,2025-06-17
19,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-17
20,sombr,undressed,undressed,182,2025-06-17
