position,artist,track,album,duration,date
1,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-26
2,Levi Heron,The Glen,The Glen (Levi Heron Edit),173,2025-06-26
3,j-hope & GloRilla,Killin' It Girl	,,0,2025-06-26
4,Teddy Swims,Bad Dreams,Bad Dreams,184,2025-06-26
5,Lady Gaga & Bruno Mars,Die With A Smile,Belong Together,148,2025-06-26
6,The Beach Boys,Sloop John B,Pet Sounds,183,2025-06-26
7,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-26
8,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-26
9,Max McNown,Same Questions,Same Questions,192,2025-06-26
10,twenty one pilots,The Contract,The Contract,228,2025-06-26
11,The Beach Boys,Wouldn't It Be Nice,The Very Best Of The Beach Boys: Sounds Of Summer,153,2025-06-26
12,Tommy Cash,Espresso Macchiato,Espresso Macchiato,173,2025-06-26
13,The Beach Boys,California Girls,The Very Best Of The Beach Boys: Sounds Of Summer,163,2025-06-26
14,Miley Cyrus,End of the World,End of the World,250,2025-06-26
15,Lady Gaga,Abracadabra,Abracadabra,223,2025-06-26
16,Ati242,Her Nerdeysen,Manifesto,149,2025-06-26
17,Sabrina Carpenter,Manchild,Manchild,213,2025-06-26
18,j-hope,Killin' It Girl,MONA LISA,137,2025-06-26
19,Alex Warren,Ordinary,Ordinary,186,2025-06-26
20,ROSÉ & Bruno Mars,APT.,APT.,169,2025-06-26
