position,artist,track,album,duration,date
1,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-08
2,David Guetta & Sia,Beautiful People,Beautiful People,187,2025-06-08
3,Disturbed,The Sound of Silence,The Sound of Silence (CYRIL Remix),185,2025-06-08
4,Calvin Harris & Clementine Douglas,Blessings	,Blessings,220,2025-06-08
5,Benson Boone,Mystical Magical,Mystical Magical,165,2025-06-08
6,Stephen Wilson Jr.,Stand By Me,søn of dad (deluxe),247,2025-06-08
7,Miley Cyrus,End of the World,End of the World,250,2025-06-08
8,Drake,NOKIA,$ome $exy $ongs 4 U,241,2025-06-08
9,Connie Francis,Pretty Little Baby,Second Hand Love,144,2025-06-08
10,The Beach Boys,Surfin' U.S.A.,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-08
11,Alex Warren,Ordinary,Ordinary,186,2025-06-08
12,Lola Young,Messy,Messy,284,2025-06-08
13,Sabrina Carpenter,Manchild,Manchild,213,2025-06-08
14,twenty one pilots,The Contract,The Contract,228,2025-06-08
15,Chris Brown,Holy Blindfold,Breezy (Deluxe),158,2025-06-08
16,ATEEZ,Lemon Drop,THE WORLD EP.FIN : WILL,198,2025-06-08
17,Lady Gaga,Abracadabra,Abracadabra,223,2025-06-08
18,The Beach Boys,California Girls,The Very Best Of The Beach Boys: Sounds Of Summer,163,2025-06-08
19,Ati242,Her Nerdeysen,Manifesto,149,2025-06-08
20,Tommy Cash,Espresso Macchiato,Espresso Macchiato,173,2025-06-08
