position,artist,track,album,duration,date
1,The Beach Boys,Sloop John B,Pet Sounds,183,2025-06-27
2,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-27
3,j-hope & GloRilla,Killin' It Girl	,,0,2025-06-27
4,Teddy Swims,Bad Dreams,Bad Dreams,184,2025-06-27
5,twenty one pilots,The Contract,The Contract,228,2025-06-27
6,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-27
7,Max McNown,Same Questions,Same Questions,192,2025-06-27
8,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-27
9,Tommy Cash,Espresso Macchiato,Espresso Macchiato,173,2025-06-27
10,Ati242,Her Nerdeysen,Manifesto,149,2025-06-27
11,The Beach Boys,California Girls,The Very Best Of The Beach Boys: Sounds Of Summer,163,2025-06-27
12,j-hope,Killin' It Girl,MONA LISA,137,2025-06-27
13,Alex Warren,Ordinary,Ordinary,186,2025-06-27
14,ROSÉ & Bruno Mars,APT.,APT.,169,2025-06-27
15,Ed Sheeran,Azizam,Azizam,162,2025-06-27
16,Bruce Springsteen,Sunday Love	,Sunday Love,316,2025-06-27
17,Ed Sheeran,Sapphire	,Sapphire,179,2025-06-27
18,The Beach Boys,God Only Knows	,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-27
19,Lola Young,Messy,Messy,284,2025-06-27
20,Lady Gaga & Bruno Mars,Die With A Smile,Belong Together,148,2025-06-27
