position,artist,track,album,duration,date
1,Justice,Neverender,Hyperdrama,266,2025-06-08
2,Gracie Abrams,"I Love You, I'm Sorry",The Secret of Us,157,2025-06-08
3,Shaboozey,Good News,Good News,199,2025-06-08
4,Charli xcx,Apple,BRAT,151,2025-06-08
5,Sabrina Carpenter,Espresso,Espresso,175,2025-06-08
6,Dua Lipa,Houdini,Houdini,185,2025-06-08
7,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-08
8,Charli xcx,360,BRAT,133,2025-06-08
9,Post Malone,I Had Some Help,I Had Some Help,178,2025-06-08
10,Tate McRae,It's ok I'm ok,It's ok I'm ok,157,2025-06-08
11,Jack Harlow,Lovin On Me,Lovin On Me,138,2025-06-08
12,Shaboozey,A Bar Song (Tipsy),A Bar Song (Tipsy),171,2025-06-08
13,Morgan Wallen,What I Want,I’m The Problem,184,2025-06-08
14,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-08
15,Clairo,Juna,Charm,195,2025-06-08
16,Alex Warren,Ordinary,Ordinary,186,2025-06-08
17,Morgan Wallen,Love Somebody,Love Somebody,205,2025-06-08
18,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-08
19,Ariana Grande,we can't be friends (wait for your love),eternal sunshine,230,2025-06-08
20,Michael Marcagi,Scared To Start,Scared To Start,159,2025-06-08
