position,artist,track,album,duration,date
1,Justice,Neverender,Hyperdrama,266,2025-06-06
2,Sabrina Carpenter,Espresso,Espresso,175,2025-06-06
3,Shaboozey,Good News,Good News,199,2025-06-06
4,Morgan Wallen,What I Want,I’m The Problem,184,2025-06-06
5,Clairo,Juna,Charm,195,2025-06-06
6,Gracie Abrams,"I Love You, I'm Sorry",The Secret of Us,157,2025-06-06
7,Dua Lipa,Houdini,Houdini,185,2025-06-06
8,Charli xcx,360,BRAT,133,2025-06-06
9,Charli xcx,Apple,BRAT,151,2025-06-06
10,Post Malone,I Had Some Help,I Had Some Help,178,2025-06-06
11,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-06
12,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-06
13,Morgan Wallen,Love Somebody,Love Somebody,205,2025-06-06
14,Myles Smith,Stargazing,Stargazing,172,2025-06-06
15,Miley Cyrus,End of the World,End of the World,250,2025-06-06
16,Michael Marcagi,Scared To Start,Scared To Start,159,2025-06-06
17,Doechii,Anxiety,Anxiety,249,2025-06-06
18,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-06
19,Lola Young,Messy,Messy,284,2025-06-06
20,Alex Warren,Ordinary,Ordinary,186,2025-06-06
