position,artist,track,album,duration,date
1,Morgan Wallen,What I Want,I’m The Problem,184,2025-06-05
2,Sabrina Carpenter,Espresso,Espresso,175,2025-06-05
3,Clairo,Juna,Charm,195,2025-06-05
4,Shaboozey,Good News,Good News,199,2025-06-05
5,Gracie Abrams,"I Love You, I'm Sorry",The Secret of Us,157,2025-06-05
6,Charli xcx,Apple,BRAT,151,2025-06-05
7,Myles Smith,Stargazing,Stargazing,172,2025-06-05
8,Post Malone,I Had Some Help,I Had Some Help,178,2025-06-05
9,Dua Lipa,Houdini,Houdini,185,2025-06-05
10,Charli xcx,360,BRAT,133,2025-06-05
11,Michael Marcagi,Scared To Start,Scared To Start,159,2025-06-05
12,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-05
13,Doechii,Anxiety,Anxiety,249,2025-06-05
14,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-05
15,Lola Young,Messy,Messy,284,2025-06-05
16,Alex Warren,Ordinary,Ordinary,186,2025-06-05
17,Rosé,APT.,APT.,169,2025-06-05
18,Lady Gaga,Die With A Smile,Die With A Smile,250,2025-06-05
19,Shaboozey,A Bar Song (Tipsy),A Bar Song (Tipsy),171,2025-06-05
20,Kendrick Lamar,luther,GNX,178,2025-06-05
