position,artist,track,album,duration,date
1,Bad Bunny,DtMF,DeBÍ TiRAR MáS FOToS,237,2025-06-30
2,Sabrina Carpenter,Manchild,Manchild,213,2025-06-30
3,Alex Warren,Ordinary,Ordinary,186,2025-06-30
4,sombr,back to friends,back to friends,199,2025-06-30
5,Lady Gaga,Die With A Smile (w/ Bruno Mars),24K Magic,281,2025-06-30
6,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-30
7,Jin,Don’t Say You Love Me,Echo,180,2025-06-30
8,"W Sound,La Plena","W Sound 05 (w/ Beéle, Ovy On The Drums)",La Plena (W Sound 05),150,2025-06-30
9,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-30
10,sombr,undressed,undressed,182,2025-06-30
11,ROSÉ,APT. (w/ Bruno Mars),24K Magic,281,2025-06-30
12,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-30
13,Fuerza Regida,TU SANCHO,111XPANTIA,178,2025-06-30
14,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album),,0,2025-06-30
15,Sabrina Carpenter,Espresso,Espresso,175,2025-06-30
16,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-30
17,Beéle,no tiene sentido,BORONDO,159,2025-06-30
18,Gigi Perez,Sailor Song,Sailor Song,211,2025-06-30
19,MOLIY,"Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)",,0,2025-06-30
20,Gracie Abrams,That’s So True,The Secret of Us (Deluxe),166,2025-06-30
