position,artist,track,album,duration,date
1,Lady Gaga,Die With A Smile,Die With A Smile,250,2025-06-23
2,Rosé,APT.,APT.,169,2025-06-23
3,Chris Brown,Residuals,11:11 (Deluxe),215,2025-06-23
4,Megan Moroney,Am I Okay?,Am I Okay?,235,2025-06-23
5,Morgan Wallen,I Ain't Comin' Back,I Ain't Comin' Back,175,2025-06-23
6,Leon Thomas,MUTT,MUTT,193,2025-06-23
7,Zach Bryan,Pink Skies,Pink Skies,194,2025-06-23
8,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-23
9,Taylor Swift,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,218,2025-06-23
10,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-23
11,Dasha,Not At This Party,Not At This Party,212,2025-06-23
12,Artemas,i like the way you kiss me,i like the way you kiss me,142,2025-06-23
13,Bakar,Hell N Back (feat. Summer Walker),Halo,195,2025-06-23
14,The Marías,No One Noticed,Submarine,236,2025-06-23
15,Sabrina Carpenter,Taste,Short n' Sweet,157,2025-06-23
16,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-23
17,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-23
18,Miley Cyrus,End of the World,End of the World,250,2025-06-23
19,Reneé Rapp,Not My Fault,Not My Fault,170,2025-06-23
20,Alex Warren,Ordinary,Ordinary,186,2025-06-23
