position,artist,track,album,duration,date
1,Alex Warren,Ordinary,Ordinary,186,2025-06-10
2,sombr,back to friends,back to friends,199,2025-06-10
3,KAROL G,Si Antes Te Hubiera Conocido,Si Antes Te Hubiera Conocido,195,2025-06-10
4,Gigi Perez,Sailor Song,Sailor Song,211,2025-06-10
5,JENNIE,like JENNIE,Ruby,123,2025-06-10
6,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-10
7,The Goo Goo Dolls,Iris,Dizzy up the Girl,289,2025-06-10
8,The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)",,0,2025-06-10
9,NIKI,You'll Be in My Heart - Spotify Singles,,0,2025-06-10
10,"Tyler, The Creator",See You Again (w/ Kali Uchis),,0,2025-06-10
11,Gracie Abrams,That’s So True,The Secret of Us (Deluxe),166,2025-06-10
12,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-10
13,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-10
14,MOLIY,"Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)",,0,2025-06-10
15,Ed Sheeran,Sapphire,Sapphire,179,2025-06-10
16,Arctic Monkeys,I Wanna Be Yours,AM,183,2025-06-10
17,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-10
18,Bad Bunny,BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,367,2025-06-10
19,Kendrick Lamar,All The Stars (w/ SZA),Still Over It,231,2025-06-10
20,Fuerza Regida,Marlboro Rojo,111XPANTIA,184,2025-06-10
