position,artist,track,album,duration,date
1,j-hope & GloRilla,Killin' It Girl	,,0,2025-06-21
2,Ed Sheeran,Azizam,Azizam,162,2025-06-21
3,Stray Kids,Hollow,Hollow,209,2025-06-21
4,Teddy Swims,Bad Dreams,Bad Dreams,184,2025-06-21
5,Lady Gaga & Bruno Mars,Die With A Smile,Belong Together,148,2025-06-21
6,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-21
7,Ed Sheeran,Sapphire	,Sapphire,179,2025-06-21
8,The Beach Boys,I Get Around,The Very Best Of The Beach Boys: Sounds Of Summer,132,2025-06-21
9,Alison Goldfrapp,Sound & Light,Flux,198,2025-06-21
10,Max McNown,Same Questions,Same Questions,192,2025-06-21
11,Levi Heron,The Glen,The Glen (Levi Heron Edit),173,2025-06-21
12,Roddy Ricch,Underdog,Underdog (From F1® The Movie),142,2025-06-21
13,The Beach Boys,Sloop John B,Pet Sounds,183,2025-06-21
14,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-21
15,Lil Wayne & Nicki Minaj,Banned From NO	,Tha Carter VI (Bonus),204,2025-06-21
16,Doechii,Anxiety,Anxiety,249,2025-06-21
17,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-21
18,Sabrina Carpenter,Manchild,Manchild,213,2025-06-21
19,The Beach Boys,Wouldn't It Be Nice,The Very Best Of The Beach Boys: Sounds Of Summer,153,2025-06-21
20,Benson Boone,Sorry I'm Here For Someone Else,Sorry I'm Here For Someone Else,156,2025-06-21
