position,artist,track,album,duration,date
1,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album),,0,2025-06-28
2,sombr,undressed,undressed,182,2025-06-28
3,Charli xcx,party 4 u,how i'm feeling now,296,2025-06-28
4,Coldplay,Yellow,Parachutes,266,2025-06-28
5,The Weeknd,Timeless (w/ Playboi Carti),2014 Forest Hills Drive,292,2025-06-28
6,Gigi Perez,Sailor Song,Sailor Song,211,2025-06-28
7,Lady Gaga,Die With A Smile (w/ Bruno Mars),24K Magic,281,2025-06-28
8,Bad Bunny,DtMF,DeBÍ TiRAR MáS FOToS,237,2025-06-28
9,JENNIE,like JENNIE,Ruby,123,2025-06-28
10,Sabrina Carpenter,Espresso,Espresso,175,2025-06-28
11,Sabrina Carpenter,Manchild,Manchild,213,2025-06-28
12,Arctic Monkeys,I Wanna Be Yours,AM,183,2025-06-28
13,Alex Warren,Ordinary,Ordinary,186,2025-06-28
14,sombr,back to friends,back to friends,199,2025-06-28
15,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-28
16,Jin,Don’t Say You Love Me,Echo,180,2025-06-28
17,"W Sound,La Plena","W Sound 05 (w/ Beéle, Ovy On The Drums)",La Plena (W Sound 05),150,2025-06-28
18,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-28
19,ROSÉ,APT. (w/ Bruno Mars),24K Magic,281,2025-06-28
20,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-28
