position,artist,track,album,duration,date
1,Sabrina Carpenter,Espresso,Espresso,175,2025-06-29
2,Arctic Monkeys,I Wanna Be Yours,AM,183,2025-06-29
3,Lady Gaga,Die With A Smile (w/ Bruno Mars),24K Magic,281,2025-06-29
4,Bad Bunny,DtMF,DeBÍ TiRAR MáS FOToS,237,2025-06-29
5,The Weeknd,Timeless (w/ Playboi Carti),2014 Forest Hills Drive,292,2025-06-29
6,JENNIE,like JENNIE,Ruby,123,2025-06-29
7,Sabrina Carpenter,Manchild,Manchild,213,2025-06-29
8,Alex Warren,Ordinary,Ordinary,186,2025-06-29
9,sombr,back to friends,back to friends,199,2025-06-29
10,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-29
11,Jin,Don’t Say You Love Me,Echo,180,2025-06-29
12,"W Sound,La Plena","W Sound 05 (w/ Beéle, Ovy On The Drums)",La Plena (W Sound 05),150,2025-06-29
13,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-29
14,sombr,undressed,undressed,182,2025-06-29
15,ROSÉ,APT. (w/ Bruno Mars),24K Magic,281,2025-06-29
16,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-29
17,Fuerza Regida,TU SANCHO,111XPANTIA,178,2025-06-29
18,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album),,0,2025-06-29
19,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-29
20,Beéle,no tiene sentido,BORONDO,159,2025-06-29
