position,artist,track,album,duration,date
1,ATEEZ,Lemon Drop,THE WORLD EP.FIN : WILL,198,2025-06-05
2,Shaboozey,A Bar Song,A Bar Song (Tipsy),171,2025-06-05
3,Drake,NOKIA,$ome $exy $ongs 4 U,241,2025-06-05
4,Miley Cyrus,End of the World,End of the World,250,2025-06-05
5,Calvin Harris & Clementine Douglas,Blessings	,Blessings,220,2025-06-05
6,The Beach Boys,Good Vibrations,The Very Best Of The Beach Boys: Sounds Of Summer,215,2025-06-05
7,Disturbed,The Sound of Silence,The Sound of Silence (CYRIL Remix),185,2025-06-05
8,Benson Boone,Mystical Magical,Mystical Magical,165,2025-06-05
9,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-05
10,Connie Francis,Pretty Little Baby,Second Hand Love,144,2025-06-05
11,The Beach Boys,Surfin' U.S.A.,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-05
12,Stephen Wilson Jr.,Stand By Me,søn of dad (deluxe),247,2025-06-05
13,twenty one pilots,The Contract,The Contract,228,2025-06-05
14,Alex Warren,Ordinary,Ordinary,186,2025-06-05
15,Lola Young,Messy,Messy,284,2025-06-05
16,Ati242,Her Nerdeysen,Manifesto,149,2025-06-05
17,j-hope,Killin' It Girl,MONA LISA,137,2025-06-05
18,j-hope & GloRilla,Killin' It Girl	,,0,2025-06-05
19,ROSÉ & Bruno Mars,APT.,APT.,169,2025-06-05
20,Ed Sheeran,Azizam,Azizam,162,2025-06-05
