position,artist,track,album,duration,date
1,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-21
2,Zach Bryan,Pink Skies,Pink Skies,194,2025-06-21
3,Leon Thomas,MUTT,MUTT,193,2025-06-21
4,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-21
5,Morgan Wallen,I Ain't Comin' Back,I Ain't Comin' Back,175,2025-06-21
6,Chris Brown,Residuals,11:11 (Deluxe),215,2025-06-21
7,Megan Moroney,Am I Okay?,Am I Okay?,235,2025-06-21
8,Taylor Swift,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,218,2025-06-21
9,Sabrina Carpenter,Taste,Short n' Sweet,157,2025-06-21
10,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-21
11,Reneé Rapp,Not My Fault,Not My Fault,170,2025-06-21
12,Lady Gaga,Die With A Smile,Die With A Smile,250,2025-06-21
13,Artemas,i like the way you kiss me,i like the way you kiss me,142,2025-06-21
14,The Marías,No One Noticed,Submarine,236,2025-06-21
15,Rosé,APT.,APT.,169,2025-06-21
16,Sabrina Carpenter,Please Please Please,Please Please Please,186,2025-06-21
17,Marshmello,Miles On It,Miles On It,168,2025-06-21
18,Madison Beer,Make You Mine,Make You Mine,220,2025-06-21
19,David Guetta,Beautiful People,Beautiful People,187,2025-06-21
20,Bakar,Hell N Back (feat. Summer Walker),Halo,195,2025-06-21
