position,artist,track,album,duration,date
1,Kendrick Lamar,luther,GNX,178,2025-06-24
2,Chappell Roan,"Good Luck, Babe!","Good Luck, Babe!",218,2025-06-24
3,Neton Vega,Morena (w/ Peso Pluma),ÉXODO,130,2025-06-24
4,Lord Huron,The Night We Met,Strange Trails,208,2025-06-24
5,sombr,undressed,undressed,182,2025-06-24
6,Fourtwnty,Mangu (w/ Charita Utami),,0,2025-06-24
7,Morgan Wallen,What I Want (w/ Tate McRae),,0,2025-06-24
8,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album),,0,2025-06-24
9,The Police,Every Breath You Take,Synchronicity (Remastered 2003),253,2025-06-24
10,Bad Bunny,EoO,DeBÍ TiRAR MáS FOToS,204,2025-06-24
11,Lady Gaga,Die With A Smile (w/ Bruno Mars),24K Magic,281,2025-06-24
12,Beéle,no tiene sentido,BORONDO,159,2025-06-24
13,WizTheMc,Show Me Love (w/ bees & honey),Suntub,228,2025-06-24
14,Ed Sheeran,Azizam,Azizam,162,2025-06-24
15,Bad Bunny,DtMF,DeBÍ TiRAR MáS FOToS,237,2025-06-24
16,Jimin,Who,MUSE,170,2025-06-24
17,Arctic Monkeys,I Wanna Be Yours,AM,183,2025-06-24
18,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-24
19,Charli xcx,party 4 u,how i'm feeling now,296,2025-06-24
20,Coldplay,Yellow,Parachutes,266,2025-06-24
