position,artist,track,album,duration,date
1,Doechii,Anxiety,Anxiety,249,2025-06-17
2,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-17
3,Lil Wayne & Nicki Minaj,Banned From NO	,Tha Carter VI (Bonus),204,2025-06-17
4,Ed Sheeran,Old Phone	,Old Phone,221,2025-06-17
5,Levi Heron,The Glen,The Glen (Levi Heron Edit),173,2025-06-17
6,Max McNown,Same Questions,Same Questions,192,2025-06-17
7,Roddy Ricch,Underdog,Underdog (From F1® The Movie),142,2025-06-17
8,The Beach Boys,Sloop John B,Pet Sounds,183,2025-06-17
9,The Beach Boys,God Only Knows	,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-17
10,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-17
11,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-17
12,Stray Kids,Hollow,Hollow,209,2025-06-17
13,Teddy Swims,Bad Dreams,Bad Dreams,184,2025-06-17
14,Alison Goldfrapp,Sound & Light,Flux,198,2025-06-17
15,The Beach Boys,I Get Around,The Very Best Of The Beach Boys: Sounds Of Summer,132,2025-06-17
16,Ed Sheeran,Sapphire	,Sapphire,179,2025-06-17
17,Lady Gaga & Bruno Mars,Die With A Smile,Belong Together,148,2025-06-17
18,East Duo,ჩუბინა,ჩუბინა,90,2025-06-17
19,j-hope & GloRilla,Killin' It Girl	,,0,2025-06-17
20,Benson Boone,Sorry I'm Here For Someone Else,Sorry I'm Here For Someone Else,156,2025-06-17
