position,artist,track,album,duration,date
1,Rosé,APT.,APT.,169,2025-06-24
2,Chris Brown,Residuals,11:11 (Deluxe),215,2025-06-24
3,Megan Moroney,Am I Okay?,Am I Okay?,235,2025-06-24
4,Morgan Wallen,I Ain't Comin' Back,I Ain't Comin' Back,175,2025-06-24
5,Leon Thomas,MUTT,MUTT,193,2025-06-24
6,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-24
7,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-24
8,Artemas,i like the way you kiss me,i like the way you kiss me,142,2025-06-24
9,Reneé Rapp,Not My Fault,Not My Fault,170,2025-06-24
10,Taylor Swift,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,218,2025-06-24
11,Sabrina Carpenter,Taste,Short n' Sweet,157,2025-06-24
12,Djo,End of Beginning,DECIDE,159,2025-06-24
13,Sabrina Carpenter,Please Please Please,Please Please Please,186,2025-06-24
14,The Marías,No One Noticed,Submarine,236,2025-06-24
15,Dasha,Not At This Party,Not At This Party,212,2025-06-24
16,Bakar,Hell N Back (feat. Summer Walker),Halo,195,2025-06-24
17,Madison Beer,Make You Mine,Make You Mine,220,2025-06-24
18,Miley Cyrus,End of the World,End of the World,250,2025-06-24
19,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-24
20,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-24
