position,artist,track,album,duration,date
1,Teddy Swims,Bad Dreams,Bad Dreams,184,2025-06-29
2,Max McNown,Same Questions,Same Questions,192,2025-06-29
3,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-29
4,The Beach Boys,California Girls,The Very Best Of The Beach Boys: Sounds Of Summer,163,2025-06-29
5,Tommy Cash,Espresso Macchiato,Espresso Macchiato,173,2025-06-29
6,Ati242,Her Nerdeysen,Manifesto,149,2025-06-29
7,j-hope & GloRilla,Killin' It Girl	,,0,2025-06-29
8,j-hope,Killin' It Girl,MONA LISA,137,2025-06-29
9,Alex Warren,Ordinary,Ordinary,186,2025-06-29
10,ROSÉ & Bruno Mars,APT.,APT.,169,2025-06-29
11,Ed Sheeran,Azizam,Azizam,162,2025-06-29
12,Bruce Springsteen,Sunday Love	,Sunday Love,316,2025-06-29
13,Ed Sheeran,Sapphire	,Sapphire,179,2025-06-29
14,twenty one pilots,The Contract,The Contract,228,2025-06-29
15,The Beach Boys,God Only Knows	,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-29
16,Lola Young,Messy,Messy,284,2025-06-29
17,Lady Gaga & Bruno Mars,Die With A Smile,Belong Together,148,2025-06-29
18,The Beach Boys,Good Vibrations,The Very Best Of The Beach Boys: Sounds Of Summer,215,2025-06-29
19,ATEEZ,Lemon Drop,THE WORLD EP.FIN : WILL,198,2025-06-29
20,Doechii,Anxiety,Anxiety,249,2025-06-29
