position,artist,track,album,duration,date
1,Tate McRae,It's ok I'm ok,It's ok I'm ok,157,2025-06-11
2,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-11
3,Jack Harlow,Lovin On Me,Lovin On Me,138,2025-06-11
4,Shaboozey,A Bar Song (Tipsy),A Bar Song (Tipsy),171,2025-06-11
5,Charli xcx,360,BRAT,133,2025-06-11
6,Post Malone,I Had Some Help,I Had Some Help,178,2025-06-11
7,Dua Lipa,Houdini,Houdini,185,2025-06-11
8,Alex Warren,Ordinary,Ordinary,186,2025-06-11
9,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-11
10,Justice,Neverender,Hyperdrama,266,2025-06-11
11,Charli xcx,Apple,BRAT,151,2025-06-11
12,Gracie Abrams,"I Love You, I'm Sorry",The Secret of Us,157,2025-06-11
13,Myles Smith,Stargazing,Stargazing,172,2025-06-11
14,Michael Marcagi,Scared To Start,Scared To Start,159,2025-06-11
15,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-11
16,Ariana Grande,we can't be friends (wait for your love),eternal sunshine,230,2025-06-11
17,Beyoncé,TEXAS HOLD 'EM,TEXAS HOLD 'EM,233,2025-06-11
18,Sabrina Carpenter,Espresso,Espresso,175,2025-06-11
19,Shaboozey,Good News,Good News,199,2025-06-11
20,David Guetta,Beautiful People,Beautiful People,187,2025-06-11
