position,artist,track,album,duration,date
1,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-15
2,Miley Cyrus,End of the World,End of the World,250,2025-06-15
3,Madison Beer,Make You Mine,Make You Mine,220,2025-06-15
4,David Guetta,Beautiful People,Beautiful People,187,2025-06-15
5,Djo,End of Beginning,DECIDE,159,2025-06-15
6,Morgan Wallen,Love Somebody,Love Somebody,205,2025-06-15
7,Dasha,Not At This Party,Not At This Party,212,2025-06-15
8,Sabrina Carpenter,Please Please Please,Please Please Please,186,2025-06-15
9,Bakar,Hell N Back (feat. Summer Walker),Halo,195,2025-06-15
10,Mark Ambor,Belong Together,Belong Together,148,2025-06-15
11,Lola Young,Messy,Messy,284,2025-06-15
12,Michael Marcagi,Scared To Start,Scared To Start,159,2025-06-15
13,Marshmello,Miles On It,Miles On It,168,2025-06-15
14,Alex Warren,Ordinary,Ordinary,186,2025-06-15
15,Beyoncé,TEXAS HOLD 'EM,TEXAS HOLD 'EM,233,2025-06-15
16,The Marías,No One Noticed,Submarine,236,2025-06-15
17,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-15
18,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-15
19,Sabrina Carpenter,Taste,Short n' Sweet,157,2025-06-15
20,Ariana Grande,we can't be friends (wait for your love),eternal sunshine,230,2025-06-15
