position,artist,track,album,duration,date
1,East Duo,ჩუბინა,ჩუბინა,90,2025-06-15
2,The Beach Boys,God Only Knows	,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-15
3,Benson Boone,Sorry I'm Here For Someone Else,Sorry I'm Here For Someone Else,156,2025-06-15
4,"MOLIY, Silent Addy, Skillibeng & Shenseea",Shake It To The Max,Shake It To The Max (FLY) [Remix],178,2025-06-15
5,Lady Gaga,Always Remember Us This Way,A Star Is Born Soundtrack,210,2025-06-15
6,The Beach Boys,California Girls,The Very Best Of The Beach Boys: Sounds Of Summer,163,2025-06-15
7,Doechii,Anxiety,Anxiety,249,2025-06-15
8,Max McNown,Same Questions,Same Questions,192,2025-06-15
9,Chris Brown,Holy Blindfold,Breezy (Deluxe),158,2025-06-15
10,Lil Wayne & Nicki Minaj,Banned From NO	,Tha Carter VI (Bonus),204,2025-06-15
11,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-15
12,Ed Sheeran,Old Phone	,Old Phone,221,2025-06-15
13,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-15
14,Lady Gaga,Abracadabra,Abracadabra,223,2025-06-15
15,Levi Heron,The Glen,The Glen (Levi Heron Edit),173,2025-06-15
16,The Beach Boys,Wouldn't It Be Nice,The Very Best Of The Beach Boys: Sounds Of Summer,153,2025-06-15
17,Tommy Cash,Espresso Macchiato,Espresso Macchiato,173,2025-06-15
18,The Beach Boys,Sloop John B,Pet Sounds,183,2025-06-15
19,ROSÉ & Bruno Mars,APT.,APT.,169,2025-06-15
20,Lola Young,Messy,Messy,284,2025-06-15
