position,artist,track,album,duration,date
1,"MOLIY, Silent Addy, Skillibeng & Shenseea",Shake It To The Max,Shake It To The Max (FLY) [Remix],178,2025-06-14
2,Lady Gaga,Always Remember Us This Way,A Star Is Born Soundtrack,210,2025-06-14
3,Benson Boone,Sorry I'm Here For Someone Else,Sorry I'm Here For Someone Else,156,2025-06-14
4,East Duo,ჩუბინა,ჩუბინა,90,2025-06-14
5,The Beach Boys,California Girls,The Very Best Of The Beach Boys: Sounds Of Summer,163,2025-06-14
6,The Beach Boys,Wouldn't It Be Nice,The Very Best Of The Beach Boys: Sounds Of Summer,153,2025-06-14
7,Tommy Cash,Espresso Macchiato,Espresso Macchiato,173,2025-06-14
8,The Beach Boys,God Only Knows	,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-14
9,j-hope,Killin' It Girl,MONA LISA,137,2025-06-14
10,twenty one pilots,The Contract,The Contract,228,2025-06-14
11,Lola Young,Messy,Messy,284,2025-06-14
12,Chris Brown,Holy Blindfold,Breezy (Deluxe),158,2025-06-14
13,Lil Wayne & Nicki Minaj,Banned From NO	,Tha Carter VI (Bonus),204,2025-06-14
14,Sabrina Carpenter,Manchild,Manchild,213,2025-06-14
15,Doechii,Anxiety,Anxiety,249,2025-06-14
16,Ati242,Her Nerdeysen,Manifesto,149,2025-06-14
17,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-14
18,Ed Sheeran,Sapphire	,Sapphire,179,2025-06-14
19,ROSÉ & Bruno Mars,APT.,APT.,169,2025-06-14
20,Bruce Springsteen,Sunday Love	,Sunday Love,316,2025-06-14
