position,artist,track,album,duration,date
1,Rosé,APT.,APT.,169,2025-06-27
2,Megan Moroney,Am I Okay?,Am I Okay?,235,2025-06-27
3,Chris Brown,Residuals,11:11 (Deluxe),215,2025-06-27
4,Morgan Wallen,I Ain't Comin' Back,I Ain't Comin' Back,175,2025-06-27
5,Leon Thomas,MUTT,MUTT,193,2025-06-27
6,Madison Beer,Make You Mine,Make You Mine,220,2025-06-27
7,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-27
8,Taylor Swift,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,218,2025-06-27
9,Jack Harlow,Lovin On Me,Lovin On Me,138,2025-06-27
10,Dasha,Not At This Party,Not At This Party,212,2025-06-27
11,The Marías,No One Noticed,Submarine,236,2025-06-27
12,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-27
13,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-27
14,Charli xcx,Apple,BRAT,151,2025-06-27
15,Shaboozey,Good News,Good News,199,2025-06-27
16,Doechii,Anxiety,Anxiety,249,2025-06-27
17,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-27
18,Morgan Wallen,What I Want,I’m The Problem,184,2025-06-27
19,Lola Young,Messy,Messy,284,2025-06-27
20,Alex Warren,Ordinary,Ordinary,186,2025-06-27
