position,artist,track,album,duration,date
1,"W Sound,La Plena","W Sound 05 (w/ Beéle, Ovy On The Drums)",La Plena (W Sound 05),150,2025-06-03
2,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-03
3,The Goo Goo Dolls,Iris,Dizzy up the Girl,289,2025-06-03
4,Jin,Don’t Say You Love Me,Echo,180,2025-06-03
5,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-03
6,Bad Bunny,BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,367,2025-06-03
7,Sabrina Carpenter,Manchild,Manchild,213,2025-06-03
8,Alex Warren,Ordinary,Ordinary,186,2025-06-03
9,sombr,back to friends,back to friends,199,2025-06-03
10,Lady Gaga,Die With A Smile (w/ Bruno Mars),24K Magic,281,2025-06-03
11,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-03
12,sombr,undressed,undressed,182,2025-06-03
13,ROSÉ,APT. (w/ Bruno Mars),24K Magic,281,2025-06-03
14,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-03
15,Fuerza Regida,TU SANCHO,111XPANTIA,178,2025-06-03
16,Bad Bunny,DtMF,DeBÍ TiRAR MáS FOToS,237,2025-06-03
17,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album),,0,2025-06-03
18,Sabrina Carpenter,Espresso,Espresso,175,2025-06-03
19,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-03
20,Beéle,no tiene sentido,BORONDO,159,2025-06-03
