position,artist,track,album,duration,date
1,ATEEZ,Lemon Drop,THE WORLD EP.FIN : WILL,198,2025-06-06
2,Miley Cyrus,End of the World,End of the World,250,2025-06-06
3,Benson Boone,Mystical Magical,Mystical Magical,165,2025-06-06
4,Drake,NOKIA,$ome $exy $ongs 4 U,241,2025-06-06
5,Calvin Harris & Clementine Douglas,Blessings	,Blessings,220,2025-06-06
6,David Guetta & Sia,Beautiful People,Beautiful People,187,2025-06-06
7,Shaboozey,A Bar Song,A Bar Song (Tipsy),171,2025-06-06
8,Disturbed,The Sound of Silence,The Sound of Silence (CYRIL Remix),185,2025-06-06
9,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-06
10,Stephen Wilson Jr.,Stand By Me,søn of dad (deluxe),247,2025-06-06
11,The Beach Boys,Good Vibrations,The Very Best Of The Beach Boys: Sounds Of Summer,215,2025-06-06
12,Lola Young,Messy,Messy,284,2025-06-06
13,Connie Francis,Pretty Little Baby,Second Hand Love,144,2025-06-06
14,Alex Warren,Ordinary,Ordinary,186,2025-06-06
15,The Beach Boys,Surfin' U.S.A.,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-06
16,twenty one pilots,The Contract,The Contract,228,2025-06-06
17,Ati242,Her Nerdeysen,Manifesto,149,2025-06-06
18,j-hope,Killin' It Girl,MONA LISA,137,2025-06-06
19,The Beach Boys,California Girls,The Very Best Of The Beach Boys: Sounds Of Summer,163,2025-06-06
20,East Duo,ჩუბინა,ჩუბინა,90,2025-06-06
