position,artist,track,album,duration,date
1,Gracie Abrams,That’s So True,The Secret of Us (Deluxe),166,2025-06-12
2,Ed Sheeran,Sapphire,Sapphire,179,2025-06-12
3,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-12
4,Arctic Monkeys,I Wanna Be Yours,AM,183,2025-06-12
5,Bad Bunny,BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,367,2025-06-12
6,Sabrina Carpenter,Manchild,Manchild,213,2025-06-12
7,The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)",,0,2025-06-12
8,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-12
9,JENNIE,like JENNIE,Ruby,123,2025-06-12
10,NIKI,You'll Be in My Heart - Spotify Singles,,0,2025-06-12
11,Kendrick Lamar,All The Stars (w/ SZA),Still Over It,231,2025-06-12
12,Fuerza Regida,Marlboro Rojo,111XPANTIA,184,2025-06-12
13,"Tyler, The Creator",See You Again (w/ Kali Uchis),,0,2025-06-12
14,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-12
15,Alex Warren,Ordinary,Ordinary,186,2025-06-12
16,sombr,back to friends,back to friends,199,2025-06-12
17,ROSÉ,APT. (w/ Bruno Mars),24K Magic,281,2025-06-12
18,KAROL G,Si Antes Te Hubiera Conocido,Si Antes Te Hubiera Conocido,195,2025-06-12
19,Gigi Perez,Sailor Song,Sailor Song,211,2025-06-12
20,Charli xcx,party 4 u,how i'm feeling now,296,2025-06-12
