position,artist,track,album,duration,date
1,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-24
2,Lil Wayne & Nicki Minaj,Banned From NO	,Tha Carter VI (Bonus),204,2025-06-24
3,Levi Heron,The Glen,The Glen (Levi Heron Edit),173,2025-06-24
4,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-24
5,Teddy Swims,Bad Dreams,Bad Dreams,184,2025-06-24
6,The Beach Boys,I Get Around,The Very Best Of The Beach Boys: Sounds Of Summer,132,2025-06-24
7,The Beach Boys,Sloop John B,Pet Sounds,183,2025-06-24
8,j-hope & GloRilla,Killin' It Girl	,,0,2025-06-24
9,Lady Gaga & Bruno Mars,Die With A Smile,Belong Together,148,2025-06-24
10,The Beach Boys,Wouldn't It Be Nice,The Very Best Of The Beach Boys: Sounds Of Summer,153,2025-06-24
11,Max McNown,Same Questions,Same Questions,192,2025-06-24
12,The Beach Boys,California Girls,The Very Best Of The Beach Boys: Sounds Of Summer,163,2025-06-24
13,Tommy Cash,Espresso Macchiato,Espresso Macchiato,173,2025-06-24
14,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-24
15,Sabrina Carpenter,Manchild,Manchild,213,2025-06-24
16,Benson Boone,Mystical Magical,Mystical Magical,165,2025-06-24
17,Ati242,Her Nerdeysen,Manifesto,149,2025-06-24
18,twenty one pilots,The Contract,The Contract,228,2025-06-24
19,Miley Cyrus,End of the World,End of the World,250,2025-06-24
20,Lady Gaga,Abracadabra,Abracadabra,223,2025-06-24
