position,artist,track,album,duration,date
1,Sabrina Carpenter,Manchild,Manchild,213,2025-06-13
2,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-13
3,Kendrick Lamar,All The Stars (w/ SZA),Still Over It,231,2025-06-13
4,Bad Bunny,BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,367,2025-06-13
5,Arctic Monkeys,I Wanna Be Yours,AM,183,2025-06-13
6,Fuerza Regida,Marlboro Rojo,111XPANTIA,184,2025-06-13
7,Ed Sheeran,Sapphire,Sapphire,179,2025-06-13
8,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-13
9,Gracie Abrams,That’s So True,The Secret of Us (Deluxe),166,2025-06-13
10,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-13
11,Jimin,Who,MUSE,170,2025-06-13
12,NIKI,You'll Be in My Heart - Spotify Singles,,0,2025-06-13
13,Benson Boone,Mystical Magical,Mystical Magical,165,2025-06-13
14,The Weeknd,Timeless (w/ Playboi Carti),2014 Forest Hills Drive,292,2025-06-13
15,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-13
16,JENNIE,like JENNIE,Ruby,123,2025-06-13
17,"Tyler, The Creator",See You Again (w/ Kali Uchis),,0,2025-06-13
18,The Neighbourhood,Sweater Weather,I Love You.,240,2025-06-13
19,Beéle,no tiene sentido,BORONDO,159,2025-06-13
20,Alex Warren,Ordinary,Ordinary,186,2025-06-13
