position,artist,track,album,duration,date
1,sombr,undressed,undressed,182,2025-06-21
2,Lord Huron,The Night We Met,Strange Trails,208,2025-06-21
3,Neton Vega,Morena (w/ Peso Pluma),ÉXODO,130,2025-06-21
4,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album),,0,2025-06-21
5,Fourtwnty,Mangu (w/ Charita Utami),,0,2025-06-21
6,Chappell Roan,"Good Luck, Babe!","Good Luck, Babe!",218,2025-06-21
7,Bad Bunny,EoO,DeBÍ TiRAR MáS FOToS,204,2025-06-21
8,WizTheMc,Show Me Love (w/ bees & honey),Suntub,228,2025-06-21
9,Ed Sheeran,Azizam,Azizam,162,2025-06-21
10,Kendrick Lamar,luther,GNX,178,2025-06-21
11,Beéle,no tiene sentido,BORONDO,159,2025-06-21
12,Morgan Wallen,What I Want (w/ Tate McRae),,0,2025-06-21
13,The Police,Every Breath You Take,Synchronicity (Remastered 2003),253,2025-06-21
14,Lola Young,Messy,Messy,284,2025-06-21
15,Benson Boone,Mystical Magical,Mystical Magical,165,2025-06-21
16,Sabrina Carpenter,Espresso,Espresso,175,2025-06-21
17,Jimin,Who,MUSE,170,2025-06-21
18,Lady Gaga,Die With A Smile (w/ Bruno Mars),24K Magic,281,2025-06-21
19,Charli xcx,party 4 u,how i'm feeling now,296,2025-06-21
20,Sabrina Carpenter,Manchild,Manchild,213,2025-06-21
