position,artist,track,album,duration,date
1,Fourtwnty,Mangu (w/ Charita Utami),,0,2025-06-19
2,Ed Sheeran,Azizam,Azizam,162,2025-06-19
3,Bad Bunny,EoO,DeBÍ TiRAR MáS FOToS,204,2025-06-19
4,WizTheMc,Show Me Love (w/ bees & honey),Suntub,228,2025-06-19
5,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album),,0,2025-06-19
6,The Police,Every Breath You Take,Synchronicity (Remastered 2003),253,2025-06-19
7,Morgan Wallen,What I Want (w/ Tate McRae),,0,2025-06-19
8,The Neighbourhood,Sweater Weather,I Love You.,240,2025-06-19
9,sombr,undressed,undressed,182,2025-06-19
10,Lola Young,Messy,Messy,284,2025-06-19
11,Beéle,no tiene sentido,BORONDO,159,2025-06-19
12,Bad Bunny,DtMF,DeBÍ TiRAR MáS FOToS,237,2025-06-19
13,Lady Gaga,Die With A Smile (w/ Bruno Mars),24K Magic,281,2025-06-19
14,Charli xcx,party 4 u,how i'm feeling now,296,2025-06-19
15,Neton Vega,Morena (w/ Peso Pluma),ÉXODO,130,2025-06-19
16,Jimin,Who,MUSE,170,2025-06-19
17,Lord Huron,The Night We Met,Strange Trails,208,2025-06-19
18,ROSÉ,APT. (w/ Bruno Mars),24K Magic,281,2025-06-19
19,Sabrina Carpenter,Espresso,Espresso,175,2025-06-19
20,The Weeknd,Timeless (w/ Playboi Carti),2014 Forest Hills Drive,292,2025-06-19
