position,artist,track,album,duration,date
1,Fuerza Regida,TU SANCHO,111XPANTIA,178,2025-06-04
2,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-04
3,"W Sound,La Plena","W Sound 05 (w/ Beéle, Ovy On The Drums)",La Plena (W Sound 05),150,2025-06-04
4,MOLIY,"Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)",,0,2025-06-04
5,The Goo Goo Dolls,Iris,Dizzy up the Girl,289,2025-06-04
6,Jin,Don’t Say You Love Me,Echo,180,2025-06-04
7,Alex Warren,Ordinary,Ordinary,186,2025-06-04
8,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-04
9,Bad Bunny,BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,367,2025-06-04
10,Sabrina Carpenter,Manchild,Manchild,213,2025-06-04
11,sombr,back to friends,back to friends,199,2025-06-04
12,Lady Gaga,Die With A Smile (w/ Bruno Mars),24K Magic,281,2025-06-04
13,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-04
14,sombr,undressed,undressed,182,2025-06-04
15,ROSÉ,APT. (w/ Bruno Mars),24K Magic,281,2025-06-04
16,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-04
17,Bad Bunny,DtMF,DeBÍ TiRAR MáS FOToS,237,2025-06-04
18,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album),,0,2025-06-04
19,Sabrina Carpenter,Espresso,Espresso,175,2025-06-04
20,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-04
