position,artist,track,album,duration,date
1,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-11
2,The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)",,0,2025-06-11
3,JENNIE,like JENNIE,Ruby,123,2025-06-11
4,NIKI,You'll Be in My Heart - Spotify Singles,,0,2025-06-11
5,"Tyler, The Creator",See You Again (w/ Kali Uchis),,0,2025-06-11
6,Gracie Abrams,That’s So True,The Secret of Us (Deluxe),166,2025-06-11
7,KAROL G,Si Antes Te Hubiera Conocido,Si Antes Te Hubiera Conocido,195,2025-06-11
8,Ed Sheeran,Sapphire,Sapphire,179,2025-06-11
9,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-11
10,Alex Warren,Ordinary,Ordinary,186,2025-06-11
11,Arctic Monkeys,I Wanna Be Yours,AM,183,2025-06-11
12,sombr,back to friends,back to friends,199,2025-06-11
13,Bad Bunny,BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,367,2025-06-11
14,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-11
15,Sabrina Carpenter,Manchild,Manchild,213,2025-06-11
16,Kendrick Lamar,All The Stars (w/ SZA),Still Over It,231,2025-06-11
17,The Goo Goo Dolls,Iris,Dizzy up the Girl,289,2025-06-11
18,Jin,Don’t Say You Love Me,Echo,180,2025-06-11
19,Gigi Perez,Sailor Song,Sailor Song,211,2025-06-11
20,MOLIY,"Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)",,0,2025-06-11
