position,artist,track,album,duration,date
1,The Beach Boys,Good Vibrations,The Very Best Of The Beach Boys: Sounds Of Summer,215,2025-06-02
2,Shaboozey,A Bar Song,A Bar Song (Tipsy),171,2025-06-02
3,ATEEZ,Lemon Drop,THE WORLD EP.FIN : WILL,198,2025-06-02
4,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-02
5,Stephen Wilson Jr.,Stand By Me,søn of dad (deluxe),247,2025-06-02
6,j-hope & GloRilla,Killin' It Girl	,,0,2025-06-02
7,j-hope,Killin' It Girl,MONA LISA,137,2025-06-02
8,Alex Warren,Ordinary,Ordinary,186,2025-06-02
9,ROSÉ & Bruno Mars,APT.,APT.,169,2025-06-02
10,Ed Sheeran,Azizam,Azizam,162,2025-06-02
11,Bruce Springsteen,Sunday Love	,Sunday Love,316,2025-06-02
12,Ed Sheeran,Sapphire	,Sapphire,179,2025-06-02
13,twenty one pilots,The Contract,The Contract,228,2025-06-02
14,The Beach Boys,God Only Knows	,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-02
15,Lola Young,Messy,Messy,284,2025-06-02
16,Lady Gaga & Bruno Mars,Die With A Smile,Belong Together,148,2025-06-02
17,Doechii,Anxiety,Anxiety,249,2025-06-02
18,Lady Gaga,Abracadabra,Abracadabra,223,2025-06-02
19,Sabrina Carpenter,Manchild,Manchild,213,2025-06-02
20,Levi Heron,The Glen,The Glen (Levi Heron Edit),173,2025-06-02
