position,artist,track,album,duration,date
1,Morgan Wallen,I Ain't Comin' Back,I Ain't Comin' Back,175,2025-06-30
2,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-30
3,Charli xcx,Apple,BRAT,151,2025-06-30
4,Doechii,Anxiety,Anxiety,249,2025-06-30
5,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-30
6,Morgan Wallen,What I Want,I’m The Problem,184,2025-06-30
7,Lola Young,Messy,Messy,284,2025-06-30
8,Alex Warren,Ordinary,Ordinary,186,2025-06-30
9,Rosé,APT.,APT.,169,2025-06-30
10,Lady Gaga,Die With A Smile,Die With A Smile,250,2025-06-30
11,Shaboozey,A Bar Song (Tipsy),A Bar Song (Tipsy),171,2025-06-30
12,Kendrick Lamar,luther,GNX,178,2025-06-30
13,Miley Cyrus,End of the World,End of the World,250,2025-06-30
14,Sabrina Carpenter,Taste,Short n' Sweet,157,2025-06-30
15,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-30
16,Post Malone,I Had Some Help,I Had Some Help,178,2025-06-30
17,Marshmello,Miles On It,Miles On It,168,2025-06-30
18,Clairo,Juna,Charm,195,2025-06-30
19,Michael Marcagi,Scared To Start,Scared To Start,159,2025-06-30
20,Myles Smith,Stargazing,Stargazing,172,2025-06-30
