position,artist,track,album,duration,date
1,Kendrick Lamar,luther,GNX,178,2025-06-19
2,Sabrina Carpenter,Taste,Short n' Sweet,157,2025-06-19
3,Artemas,i like the way you kiss me,i like the way you kiss me,142,2025-06-19
4,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-19
5,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-19
6,Taylor Swift,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,218,2025-06-19
7,Doechii,Anxiety,Anxiety,249,2025-06-19
8,Reneé Rapp,Not My Fault,Not My Fault,170,2025-06-19
9,Marshmello,Miles On It,Miles On It,168,2025-06-19
10,Zach Bryan,Pink Skies,Pink Skies,194,2025-06-19
11,Bakar,Hell N Back (feat. Summer Walker),Halo,195,2025-06-19
12,Morgan Wallen,I Ain't Comin' Back,I Ain't Comin' Back,175,2025-06-19
13,The Marías,No One Noticed,Submarine,236,2025-06-19
14,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-19
15,Dasha,Not At This Party,Not At This Party,212,2025-06-19
16,Madison Beer,Make You Mine,Make You Mine,220,2025-06-19
17,Leon Thomas,MUTT,MUTT,193,2025-06-19
18,Lady Gaga,Die With A Smile,Die With A Smile,250,2025-06-19
19,Mark Ambor,Belong Together,Belong Together,148,2025-06-19
20,Miley Cyrus,End of the World,End of the World,250,2025-06-19
