position,artist,track,album,duration,date
1,Bakar,Hell N Back (feat. Summer Walker),Halo,195,2025-06-17
2,The Marías,No One Noticed,Submarine,236,2025-06-17
3,Marshmello,Miles On It,Miles On It,168,2025-06-17
4,Mark Ambor,Belong Together,Belong Together,148,2025-06-17
5,Lola Young,Messy,Messy,284,2025-06-17
6,Djo,End of Beginning,DECIDE,159,2025-06-17
7,Dasha,Not At This Party,Not At This Party,212,2025-06-17
8,Sabrina Carpenter,Please Please Please,Please Please Please,186,2025-06-17
9,Reneé Rapp,Not My Fault,Not My Fault,170,2025-06-17
10,Artemas,i like the way you kiss me,i like the way you kiss me,142,2025-06-17
11,Madison Beer,Make You Mine,Make You Mine,220,2025-06-17
12,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-17
13,Miley Cyrus,End of the World,End of the World,250,2025-06-17
14,Kendrick Lamar,luther,GNX,178,2025-06-17
15,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-17
16,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-17
17,Sabrina Carpenter,Taste,Short n' Sweet,157,2025-06-17
18,David Guetta,Beautiful People,Beautiful People,187,2025-06-17
19,Taylor Swift,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,218,2025-06-17
20,Doechii,Anxiety,Anxiety,249,2025-06-17
