position,artist,track,album,duration,date
1,Lola Young,Messy,Messy,284,2025-06-16
2,Mark Ambor,Belong Together,Belong Together,148,2025-06-16
3,Djo,End of Beginning,DECIDE,159,2025-06-16
4,Dasha,Not At This Party,Not At This Party,212,2025-06-16
5,Sabrina Carpenter,Please Please Please,Please Please Please,186,2025-06-16
6,The Marías,No One Noticed,Submarine,236,2025-06-16
7,Madison Beer,Make You Mine,Make You Mine,220,2025-06-16
8,Miley Cyrus,End of the World,End of the World,250,2025-06-16
9,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-16
10,Bakar,Hell N Back (feat. Summer Walker),Halo,195,2025-06-16
11,David Guetta,Beautiful People,Beautiful People,187,2025-06-16
12,Ariana Grande,we can't be friends (wait for your love),eternal sunshine,230,2025-06-16
13,Marshmello,Miles On It,Miles On It,168,2025-06-16
14,Morgan Wallen,Love Somebody,Love Somebody,205,2025-06-16
15,Beyoncé,TEXAS HOLD 'EM,TEXAS HOLD 'EM,233,2025-06-16
16,Doechii,Anxiety,Anxiety,249,2025-06-16
17,Reneé Rapp,Not My Fault,Not My Fault,170,2025-06-16
18,Michael Marcagi,Scared To Start,Scared To Start,159,2025-06-16
19,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-16
20,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-16
