position,artist,track,album,duration,date
1,j-hope,Killin' It Girl,MONA LISA,137,2025-06-12
2,Chris Brown,Holy Blindfold,Breezy (Deluxe),158,2025-06-12
3,Tommy Cash,Espresso Macchiato,Espresso Macchiato,173,2025-06-12
4,The Beach Boys,California Girls,The Very Best Of The Beach Boys: Sounds Of Summer,163,2025-06-12
5,The Beach Boys,Wouldn't It Be Nice,The Very Best Of The Beach Boys: Sounds Of Summer,153,2025-06-12
6,Ati242,Her Nerdeysen,Manifesto,149,2025-06-12
7,Sabrina Carpenter,Manchild,Manchild,213,2025-06-12
8,ROSÉ & Bruno Mars,APT.,APT.,169,2025-06-12
9,Lady Gaga,Abracadabra,Abracadabra,223,2025-06-12
10,twenty one pilots,The Contract,The Contract,228,2025-06-12
11,Bruce Springsteen,Sunday Love	,Sunday Love,316,2025-06-12
12,Lola Young,Messy,Messy,284,2025-06-12
13,"MOLIY, Silent Addy, Skillibeng & Shenseea",Shake It To The Max,Shake It To The Max (FLY) [Remix],178,2025-06-12
14,The Beach Boys,Surfin' U.S.A.,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-12
15,Lady Gaga,Always Remember Us This Way,A Star Is Born Soundtrack,210,2025-06-12
16,Alex Warren,Ordinary,Ordinary,186,2025-06-12
17,Benson Boone,Sorry I'm Here For Someone Else,Sorry I'm Here For Someone Else,156,2025-06-12
18,Disturbed,The Sound of Silence,The Sound of Silence (CYRIL Remix),185,2025-06-12
19,Stephen Wilson Jr.,Stand By Me,søn of dad (deluxe),247,2025-06-12
20,Drake,NOKIA,$ome $exy $ongs 4 U,241,2025-06-12
