position,artist,track,album,duration,date
1,Miley Cyrus,End of the World,End of the World,250,2025-06-07
2,Drake,NOKIA,$ome $exy $ongs 4 U,241,2025-06-07
3,Benson Boone,Mystical Magical,Mystical Magical,165,2025-06-07
4,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-07
5,Calvin Harris & Clementine Douglas,Blessings	,Blessings,220,2025-06-07
6,David Guetta & Sia,Beautiful People,Beautiful People,187,2025-06-07
7,Disturbed,The Sound of Silence,The Sound of Silence (CYRIL Remix),185,2025-06-07
8,Stephen Wilson Jr.,Stand By Me,søn of dad (deluxe),247,2025-06-07
9,Shaboozey,A Bar Song,A Bar Song (Tipsy),171,2025-06-07
10,Connie Francis,Pretty Little Baby,Second Hand Love,144,2025-06-07
11,The Beach Boys,Good Vibrations,The Very Best Of The Beach Boys: Sounds Of Summer,215,2025-06-07
12,ATEEZ,Lemon Drop,THE WORLD EP.FIN : WILL,198,2025-06-07
13,Ati242,Her Nerdeysen,Manifesto,149,2025-06-07
14,The Beach Boys,Surfin' U.S.A.,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-07
15,Lola Young,Messy,Messy,284,2025-06-07
16,Alex Warren,Ordinary,Ordinary,186,2025-06-07
17,Tommy Cash,Espresso Macchiato,Espresso Macchiato,173,2025-06-07
18,twenty one pilots,The Contract,The Contract,228,2025-06-07
19,Chris Brown,Holy Blindfold,Breezy (Deluxe),158,2025-06-07
20,j-hope,Killin' It Girl,MONA LISA,137,2025-06-07
