position,artist,track,album,duration,date
1,Alex Warren,Ordinary,Ordinary,186,2025-06-12
2,Shaboozey,A Bar Song (Tipsy),A Bar Song (Tipsy),171,2025-06-12
3,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-12
4,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-12
5,Ariana Grande,we can't be friends (wait for your love),eternal sunshine,230,2025-06-12
6,Tate McRae,It's ok I'm ok,It's ok I'm ok,157,2025-06-12
7,Myles Smith,Stargazing,Stargazing,172,2025-06-12
8,Beyoncé,TEXAS HOLD 'EM,TEXAS HOLD 'EM,233,2025-06-12
9,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-12
10,Jack Harlow,Lovin On Me,Lovin On Me,138,2025-06-12
11,Michael Marcagi,Scared To Start,Scared To Start,159,2025-06-12
12,Charli xcx,360,BRAT,133,2025-06-12
13,Post Malone,I Had Some Help,I Had Some Help,178,2025-06-12
14,Dua Lipa,Houdini,Houdini,185,2025-06-12
15,Charli xcx,Apple,BRAT,151,2025-06-12
16,Morgan Wallen,Love Somebody,Love Somebody,205,2025-06-12
17,Miley Cyrus,End of the World,End of the World,250,2025-06-12
18,David Guetta,Beautiful People,Beautiful People,187,2025-06-12
19,Lola Young,Messy,Messy,284,2025-06-12
20,Justice,Neverender,Hyperdrama,266,2025-06-12
