position,artist,track,album,duration,date
1,ROSÉ,APT. (w/ Bruno Mars),24K Magic,281,2025-06-16
2,Sabrina Carpenter,Espresso,Espresso,175,2025-06-16
3,Coldplay,Yellow,Parachutes,266,2025-06-16
4,The Weeknd,Timeless (w/ Playboi Carti),2014 Forest Hills Drive,292,2025-06-16
5,The Neighbourhood,Sweater Weather,I Love You.,240,2025-06-16
6,Charli xcx,party 4 u,how i'm feeling now,296,2025-06-16
7,Beéle,no tiene sentido,BORONDO,159,2025-06-16
8,Lola Young,Messy,Messy,284,2025-06-16
9,Morgan Wallen,What I Want (w/ Tate McRae),,0,2025-06-16
10,Jimin,Who,MUSE,170,2025-06-16
11,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-16
12,Lady Gaga,Die With A Smile (w/ Bruno Mars),24K Magic,281,2025-06-16
13,Bad Bunny,DtMF,DeBÍ TiRAR MáS FOToS,237,2025-06-16
14,Fuerza Regida,Marlboro Rojo,111XPANTIA,184,2025-06-16
15,WizTheMc,Show Me Love (w/ bees & honey),Suntub,228,2025-06-16
16,Benson Boone,Mystical Magical,Mystical Magical,165,2025-06-16
17,Fourtwnty,Mangu (w/ Charita Utami),,0,2025-06-16
18,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-16
19,The Police,Every Breath You Take,Synchronicity (Remastered 2003),253,2025-06-16
20,Kendrick Lamar,All The Stars (w/ SZA),Still Over It,231,2025-06-16
